freq,level,altitude,idx,caps,bssid,ssid,device_model,droid_version,app_version,device_mac,time,acc,lng,lat
2462,-69,-12,56762150, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 3c:1e:04:d2:9d:62 , 5star                            , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.442,-73.9381061,40.6935693
2462,-69,0,56762211, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 3c:1e:04:d2:9d:62 , 5star                            , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.371,-73.9385424,40.6935348
2462,-65,-11,56763879, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 3c:1e:04:d2:9d:62 , 5star                            , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.411,-73.9377387,40.6935556
2422,-77,-12,56763194, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:67:8d:d8 , 678dd0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.604,-73.9349947,40.6937734
2422,-77,-12,56763251, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:67:8d:d8 , 678dd0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,25.616,-73.9349833,40.6938973
2437,-71,0,56786183, [wpa2-psk-ccmp+tkip][ess]                                       , 70:f1:96:b0:3f:09 , 68mcl                            , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.29,-73.9398856,40.692712
2437,-73,0,56786130, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:b2:8f:6a:54:28 , 6a5420                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.29,-73.9398856,40.692712
2422,-82,-12,56763110, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , e0:46:9a:6a:ab:a9 , 6aabaa                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.985,-73.9349144,40.6937716
2422,-82,-12,56763168, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , e0:46:9a:6a:ab:a9 , 6aabaa                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.604,-73.9349947,40.6937734
2422,-82,-12,56763225, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , e0:46:9a:6a:ab:a9 , 6aabaa                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,25.616,-73.9349833,40.6938973
2437,-82,0,56780344, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6d:97:a8 , 6d97a0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,660,-73.9347046,40.6937942
2452,-84,-12,56762040, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.272,-73.9380143,40.6935948
2452,-84,-12,56762096, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.031,-73.9380831,40.6935467
2452,-83,0,56763634, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.323,-73.9370269,40.6936861
2452,-83,-11,56763780, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,23.636,-73.9375665,40.6935214
2452,-83,-11,56763843, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.411,-73.9377387,40.6935556
2452,-83,0,56763904, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.631,-73.9381176,40.6935226
2452,-81,0,56762512, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.206,-73.9394838,40.6930121
2452,-81,0,56762585, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,24.447,-73.9395068,40.6930154
2452,-81,-14,56762645, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.593,-73.9382209,40.6928903
2452,-81,-14,56762707, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.198,-73.9380831,40.6930059
2452,-79,0,56764038, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.451,-73.9387031,40.6934611
2452,-79,0,56764117, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,23.067,-73.9387261,40.6934644
2452,-79,-14,56764207, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.952,-73.9398053,40.6934248
2452,-79,-14,56764287, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:6f:44:e8 , 6f44e0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.787,-73.9398053,40.6933862
